id,product_name,category,brand,price,stock,description,features,rating,reviews,image_url,created_at
1,Apple iPhone 15 Pro,Smartphone,Apple,999.99,50,"En yeni iPhone modeli, A17 Pro çip ile güçlendirilmiş","5G, 48MP kamera, Titanium tasarım, USB-C",4.8,1250,"https://example.com/iphone15pro.jpg","2024-01-15"
2,Samsung Galaxy S24 Ultra,Smartphone,Samsung,1199.99,35,"Samsung'un amiral gemisi telefonu","S Pen, 200MP kamera, AI özellikleri, 5000mAh batarya",4.7,890,"https://example.com/galaxys24ultra.jpg","2024-01-20"
3,MacBook Pro 16-inch,Laptop,Apple,2499.99,25,"Profesyonel kullanım için tasarlanmış laptop","M3 Pro çip, 16GB RAM, 512GB SSD, Liquid Retina XDR",4.9,567,"https://example.com/macbookpro16.jpg","2024-01-10"
4,Dell XPS 15,Laptop,Dell,1899.99,40,"Windows kullanıcıları için premium laptop","Intel i7, 32GB RAM, RTX 4060, 4K OLED ekran",4.6,432,"https://example.com/dellxps15.jpg","2024-01-25"
5,Sony WH-1000XM5,Headphones,Sony,349.99,75,"Dünyanın en iyi gürültü engelleyici kulaklığı","30 saat pil ömrü, LDAC, Çoklu bağlantı",4.8,2100,"https://example.com/sonywh1000xm5.jpg","2024-01-05"
6,AirPods Pro 2nd Gen,Headphones,Apple,249.99,100,"Apple'ın premium kablosuz kulaklığı","Aktif gürültü engelleme, Spatial Audio, MagSafe şarj",4.7,1890,"https://example.com/airpodspro2.jpg","2024-01-12"
7,iPad Pro 12.9-inch,Tablet,Apple,1099.99,30,"En güçlü iPad modeli","M2 çip, 12.9 inç Liquid Retina XDR, Apple Pencil uyumlu",4.8,756,"https://example.com/ipadpro12.jpg","2024-01-18"
8,Samsung Galaxy Tab S9 Ultra,Tablet,Samsung,1199.99,20,"Android'in en büyük tablet'i","14.6 inç AMOLED, S Pen, 8K video kayıt",4.6,445,"https://example.com/galaxytabs9ultra.jpg","2024-01-22"
9,Apple Watch Series 9,Smartwatch,Apple,399.99,60,"En gelişmiş Apple Watch","S9 çip, Çift dokunma, Daha parlak ekran",4.8,1120,"https://example.com/applewatchseries9.jpg","2024-01-08"
10,Samsung Galaxy Watch 6 Classic,Smartwatch,Samsung,379.99,45,"Android için premium akıllı saat","Rotating bezel, Wear OS, 40 saat pil ömrü",4.7,678,"https://example.com/galaxywatch6classic.jpg","2024-01-14"
